ID,tweet,ingredients
1335788945762897921t,    Thats true about their vaccine but worse yet is Modernas as it uses mRNA and it messes with your DNA telling it to produce proteins to fight COVID19 I wouldnt take anything that messes with your DNA and genes,1
1334099048912068608t, Lets get our facts straight first  A few months testing on 43000 half of which had placebo is NOT adequate Chat to ex head of Pfizer  about that mRNA vaccines ATTACH to your DNA Bill Gates PLANS to introduce chips soon hence patent COVID19 is BS,1
1374291557881372672t,  No  It hasnt been approved as a vaccine by any government it was released as a emergency jab and hasnt been tested for the required period of 35 years which all vaccines have to be ,0
1376561811789611009t, Reality go rush to get your vaccine wear double masks on your way home and enjoy doing nothing at home,0
1354305622225932288t, as i know even in rich developed countries they still dont provide insurance with that vaccines theres a cases of deaths in Russia from Sputnik vaccine which not investigated including catching virus  death after vaccine Kaluga city head of state hospital death,0
1432969879263514624t,Vaccine panic Japan suspends Moderna batch after black particles discovered in vials  ,1
1331145645521039362t, Its a kill shot  Covid vax will wipe out half the nation over 2 year period MRC5 tissues from aborted foetal tissues Any pro life supporter should avoid this vaccine at all costs Its evil,1
1336428405751951361t,  Read up on the expedited Swine Flu vaccine and the serious side affects narcolepsy that ruined lives How about Thalidomide That was supposed to be safe too Ill take my chances with COVID already had it anyway,1
1376421393026457600t, The problem here is that we were told we were sacrificing our lives to protect the health service and that once vulnerable people had received their vaccine we could cry freedom Its now about facial recognition technology Supposed to be grateful for what were getting today,0
1341507252969234432t, Oh So those pastors ARE aware of the fact that fetal tissue is used in many vaccines including the latest COVID version Too bad their flock isnt Including you,1
1424184844800589831t, How they test vaccines against other vaccines instead of placebos They did this with AstraZeneca outside of the US They do this to hide adverse events They do this with the childhood vaccines If you could connect the dots to the whole vaccine scandal that would be powerful,0
1309591407297024002t,   Neurological damage per corona vaccine is absolutely worth accounting for A lot of the vaccines that were mentioned are also entirely optional where I live Flu shots are only for people who are at risk for example Another way of spreading risk of adverse reactions,0
1382297953176543232t,Oh the Vaccine currently banned due to deaths Inventor claims Brexit allowed scientists to develop Oxford jab ,0
1296309489008652289t, Be sure and trust this guys vaccine one part attentuated virus 9 parts toxic waste from Russian very pure,1
1349760369028423680t,    Exactly and recovered patients are more immune than vaccinated folk  Where did this come from Because it is exactly the opposite from what the Oxford professor who devised the vaccine said,0
1365996590834532354t,  The cruelty is so people will be desperate for the vaccine The uk was chosen to be first or nearly first for the vaccine rollout as the powers that be know the uk has some of the most gullible people in the world,0
1388292526055071750t,CDC blames Covid anxiety for adverse reactions 164 times more people fainting after getting JJ vaccine compared to flu shot Anxiety has caused adverse reactions to Johnson  Johnson jab in 64 patients in just three days prompting a temporary shutdo  ,0
1365009449782554627t,Get opinions from REAL doctors rather than KillGates  cronies Many doctors suggest we NOT get Vaccinethe ModeRNA vaccine isnt even a vaccine its SyntheticPathogens that force your blood cells into creating CoVId19 viruseswhich may kill you or your loved ones,1
1377246729771302913t,  Honestly theres no way to definitively say who has gotten a vaccine anyways a passport isnt possible The reporting is all messed up and anyone can reproduce the paper card that claims youve gotten a vaccine,0
1404711069944369152t,  Neither AZ nor Pfizers waxx contain the slightest trace of the pathogen This is why its not a vaccine And btw the virus has never been isolated,1
1353170410985168897t,Anyone who takes the experimental Covid shot should really have their head examined The companys own literature acknowledges that the safety and efficacy have not been established Translated that means the vaccine is dangerous and doesnt work ,0
1339361885997527045t,My doctor told me hes not taking the covid vaccine ,0
1307678183093874689t, Dr tam are you working for China are you on their side with this covid 19 wheres the  vaccine that was supposed to happen and we can not wear a mask  2 3 years hell no,0
1425922600228823043t,   Its bonkers because we know whats in the Pfizer vaccine The link you post is about formulation excipients for vaccines,1
1251606698382503937t, Not know but hell no I have suddenly developed allergy to eggs injectable heavy metals and a few other ingredients I will remember as soon as I see package insert for covid vaccine just sayin,1
1334027898710355970t,Wtf    this vaccine feels more about trump stock portfolioneed more info on this vaccineSTAT,0
1337468194001391616t,this is after receiving a few texts today about how the Pfizer vaccine causes Bells palsy which Ive had all my life,0
1339566156651368448t,  Yes The viral protein that your cells are being hijacked to produce after injection with the Pfizer vax the spike protein has significant homology to a protein necessary for human placental formation,1
1340003237957693440t, I wont take the vaccine developed using aborted babies AstraZeneca Check it out,1
1376929320145408005t,Sorry buddy  Canada restricts AstraZeneca use for those under 55  via  SEE NO SMOKE WITHOUT FIRE PART 3 ITS A UN TESTED VACCINE,0
1376603285210152969t,   Until the next pandemic comes out then youll need to get another vaccine passport And then another so forth and so on  Forcing compliance for survival is something that Fascists would do,0
1286261286171336705t, Reason for the Pfizer 500 million covid vax order 30k idiots volunteering for phase 3 In two weeks mass dispersal We dont even know the total truth what Covid is But you can bet your ass its long term terminal No one expected this not even Chinese Pandora baby,0
1426286051715342337t,1 Was talking to my family in Florida all vaccinated last April with Pfizer They ALL got infected most likely Delta Severe Symptoms that only excluded Pulmonary involvement Fever caugh headache body aches loss of taste and smell extreme tiredness and weakness They,0
1329735596546338816t, Have you stopped to think about the long term effects of introducing these ingredients into your DNA just BC your government tells you to Why Oh  did u know that you have no legal recourse for any  all harm done by a CovidVaccine PrepAct,1
1363131789246689281t,A close relative is still very sick 3 days after having Oxford vaccine She had covid in December and had no symptoms at all bar a rash on her stomach,0
1355511558449864710t,What we know about the single dose Johnson  Johnson coronavirus vaccine Same company that knew their baby talc was a cancer inducing agent ,0
1338522347503017992t, Hallo please find the unroll here  In 1996 Pfizer illegally conducted a clinical trial on 200 Nigerian Children 11 of them died and a  Enjoy  ,0
1359127747126308865t, The AZ oxford is a DNA virus with a GM DNA insert into a Chimpanzee Adenovirus that enters the human nucleus where it instructs via RNA your cell to create the SARSCOV2 spike protein Experimental Yes Gene therapy Yes Creates immunity No Stops spread No Vaccine,1
1390208721314213890t,plus another 3 under investigation Five new reports of blood clotting linked to AstraZeneca COVID19 vaccine emerge in Australia authorities investigating ,0
1297601821242822656t,   We have been giving the Flu vaccine for what 50 yrs We have to make a new one every yr because it mutates Even with all that the flu kills more Americans from young to old than Covid Those are just the facts Covid has a 999 survival rate That is better that the flu Cont,0
1339195026333691904t,    Theres concern for PEG and mNeonGreen in the Pfizer vaccine candidate It seems to be well founded as per what happened in the UK already We need to see the ingredient lists for all of the candidates so people can make informed choices IMHO,1
1260217108979466247t, How is he fighting for us if he pushing the Bill Gates death vaccine Why is Hiliary not arrested Why is he implementing all of Fauci Covid crap Shutting down the country has destroyed the economy,0
1330791884340518914t,  No some part of covid19 gene protein mixed with common cold virus and injected I wont take this vaccine Also they dont know why halfdose  fulldose is more effective than two full doses Give me a break rushing too quick AstraZeneca,1
1386749168534712322t,    And the Johnson and Johnson vaccine when it first came out they didnt know anything about blood clots cuz it hadnt been studied long enough to know anything just like with the other ones,0
1376731329870565380t,  The AZ vax is much more questionable than the JNJ vaccine despite being on the same platform JNJ didnt add humanderived sequences to increase the efficacy of their vaccine  AZ did In terms of safety all else equal traditional vax are the least safe and RNA are the safest,1
1409781263104360448t,New Brunswick reports blood clot death after AstraZeneca vaccine  Toronto Sun ,0
1364024077426417670t, I watched a video from an RN in Atlanta who explained that the Pfizer vaccine is bad for people who have dark skin because people who have more melanin carry an mRNA protein the Pfizer vaccine has a chemical reaction with that and it kills people,1
1333450069505437716t, I share your concerns regarding the COVID vaccine as you stated on The View Tin foil hat time  Im also concerned that it will contain some sort of microchip  not many people have mentioned that aspect I trust nothing under tRumps administration,1
1378253564284301313t,But the Oxford vaccine is based on a virus that causes the common cold in chimpanzees How do you swab a chimp how do you make it sneeze into a tissue Well scientists who isolated it didnt need to run such risks ,1
1327524442361061376t, The new vaccine that Pfizer is working on doesnt use virus antibody I heard its a New Concept but I dont know much about it Kind of worried about getting it With warp speed I hope it dont turn everybody into zombies Its probably okay though,1
1341659520091734022t,As we all suspected Boris and co are willing participants in this covid scam They took the 30 pieces of silver selling us out to the NWO great reset The pandemic doesnt exist We have been conned So ditch your masks and say no to the vaccine,0
1412524041613742087t,We now see the same problems in a staggering number of people who have received the COVID19 vaccine Spike protein also contains reproductive toxicity and biodegradation data from Pfizer show that it accumulates in the female ovaries,1
1353545713930665984t,SooooLet me get this StraightThe Creator of the Pfizer Covid Vaccine doesnt Take it himself  There is No ExcuseAre the Brainwashed Listening  Wake Up,0
1334615376177618944t, Makes you wonder dosent it Why the haste The UK Government is protecting Pfizer from being sued What is this company afraid of It all seems very wrong to me,0
1441489124637167624t,Informed consent impossible with the mysterious ingredient in a Pfizer vaccine vial ,1
1441013241006727169t,I dont want my son to take something that is unsafe I believe Covid is dangerous There arent any good easy answers here Though Pfizer says its Covid19 vaccine is safe for kids ages 5 to 11 how many parents will give it to their children ,0
1341424960158502914t, The virus was created at Fort Detrick Maryland and then sent to Wuhan for further development The Vaccine was developed long before it was releasedthey just needed a drama to convince people to take it MODERNA means  MODification of Endogenous RNA,0
1377122687194071044t, I was surprised that aborted fetus cells were used with the Shingles vaccine It never even occurred to me to question that vaccine,1
1355186778043514884t,  you do know that the JJ vaccine uses DNA and a virus to get in your cells right,1
1370173127322431492t, I cant help that the vaccine was made from aborted baby parts which is why i cant get the vaccine in good conscience So I do live in fear of getting covid I so wish i could get the vaccine but Im not getting something made from aborted embryos,1
1335545865935589381t, Yeadon  Dr W Wodarg sent letter 2 European Medicines Agency 2 halt clinical trials of Pfizers COVID19 vaccine in EU Wodarg  Yeadon stated vaccine blocks a protein key to formation of placenta in mammals  claimed its possible women getting vaccine could become infertile,0
1364028649549099011t, I nannied for a child who got autism from a vaccine when he was 5 because it had mercury in it and the family was suing the state for his developmental disabilities Not all vaccines are good shes talking to me about dogs like I never had animals,1
1329052709262123010t,I love science bc I know God exists N admire his brain Who created science But when the world makes science their God u get a vaccine made out of aborted fetuses How bizarreThis is y we r being chastise now with covid for the sin of abortion Take your medicine folks 2021,1
1248387260703076354t,Watch EXCLUSIVE DR SHIVA EXPOSES FAUCI BIRX GATES AND THE WHO COVID19 ENDGAME on YouTube  ChipedVaccines are what they want,1
1354229808914444289t,   Vaccines if effective are meant to yes keep us healthy but no need for repeats all you need to do is look at dogs and vaccines and see the damages even just the repeated rabies vaccine does So when ur child has neurological issues  learning disabilities you can feel good,0
1300165185777401856t, Do you know whats in vaccines Do you have any idea how damaging they are Will you be vaccinated Against a virus thats cyclical and cell specific in nature,1
1337102549875367947t,   I am hearing that people with anaphylactic reactions should also be cautious about the Pfizer vaccine being considered today I knew the egg connection my son is allergic to eggs but if Pfizer vaccine not grown on eggs I wonder why the concern I clearly have research to do,1
1338566578015596545t,  Ill pass When will  and his youthful staff be taking their vaccines Let us know when,0
1328086514987888641t,  The vaccine from Pfizer uses ARN which modifies your DNA No vaccine for a virus like Covid has been ever developed think about AIDS Last there are already seven variants of Covid the vaccine will never work,1
1317920122145808384t,  killer vaccines  A toxic untested Nano tec junk vaccine in 2021 Not even at gun point would I take it    novaccines for a disease that you made up,0
1338525648571260932t,If your company developed the covid19 vaccine the vaccine should be given to the company workers you and your immediate families first Pfizer CEO says he wont jump the line Bullshit Take my spot and everyone I love coronavirus ,0
1352813059824205825t,va  Biden wants to squeeze an extra shot of vaccine out of every Pfizer vial It requires special syringes ,0
1449816006478766085t,Leaked Emails Show Baby Parts Used In Vaccine Report SuggestsShocking leaked internal emails from pharmaceutical giant Pfizer show how human fetal tissue is being used in laboratory tests for the COVID19 vaccine ,1
1333497563216039936t, Wait until you see what moderna has in their coronavirus vaccine Google this  sigma adjuvant system look at the health hazard associated with it,1
1414908369836679173t,FDA warns of Johnson  Johnson vaccine GuillainBarr syndrome link ,0
1246509389806174210t,I AGREE YOU DO KNOW AMERICA THAT THERE IS A CURE FOR THIS BILL GATES CHINA VIRUS CALLED COVID19  YOU DONT NEED THAT DISEASED RIDDLED VACCINE,1
1363915002298695684t, So ask yourself  96 of deaths were over 70 years old and most with underline health issues still sad  Why do you think they want EVERYONE to get the vaccine ,0
1297998844748353536t,  That program is being bought to you by Bill Gates FB is censoring any negative comments about Bill Gates and vaccinechip implants How long before TWIT follows Bills orders,1
1338549206491992071t, read up on it Even Pfizer admitted the testing incomplete and if you suffer allergies to some or all ingredients you should avoid Both the UK and health Canada warned aleady btw if you get the vaccine you can still get Covid and transmit,0
1297954211317944320t,Well let me ask youwould you take a vaccine from Russia when Putin just poisoned his opponent in the election  Not me  The griffter Trump will try to make money on it  Hell buy up the stock and then promote it like he does oleander a rat poison,0
1285823141697204224t,  Definitely no no and no 30 death rate in Ukraine Moderna trial Naturally not picked up by MSM gatekeepers,0
1303537503367049218t,  Most vaccines take a traditional natural approach Theyre moreexpensive to make and take longer but theyre tried and true Moderna is using the nano particle route and I dunno Im a pretty level headed guy but that bothers me a little bit,1
1406786047338369025t, 50 more people have died from the AZ vaccine in Australia than covid in 2021 Australia should always have set age for AstraZeneca at 60 or 65 You all put money before the health and safety of millions of Australians The evidence was there and you chose to ignore it,0
1337709064374120450t,  40 years of research no vaccine for HIV At least 100 years of research no vaccine for CANCER Ongoing research no vaccine for the COMMON COLD But now in less than a year you have a vaccine for COVID19 that you want me to take,0
1337055486240321536t,  And noone should trust pfizer they dont even trust their product enough to stand behind it if things go wrong they have indemnity from litigation Same deal they did with the Nigerians after using their kids as guinea pigs ,0
1432189379280211973t,Search Results from the VAERS Database 57yPfizer Covidvaccine VaccineDeaths TransplantRejection after 3rd dose ,0
1336017282317750272t, Yes and Modernas 2shot vaccine is reported to only last 34 mos I wouldnt call that a vaccine,0
1253445985143001088t,  Thanks Eye I heard that other countries are stricter about the safety of them Our system needs updatedand strict quality control Please no use of fetal tissue I still will not take a vaccine if possible,1
1312600348700401665t,Well Im out for Covid vaccine  Has something from shark liver in it and Im vegetarian  exitstrategy,1
1385609702269145089t,Live Organisms in Pfizer Covid Vaccine and Covid Tests  Wormlike living fibers and Organisms  WAY OUT THERE  SCI FI STUFF IS IT REAL,1
1423282458238226439t,  officially named it the Trump vaccine The vaccine trials were completed and Pfizer published their findings in December of 2020 Early in the month The first thing that they have to prove is that the vaccine is safe and doesnt have serious side effects Thats when they go,0
1404476177570426884t,   That is why I am contacting attorney as my STATE GOP reps I want some pressure on  to get this vaccine in USA also and  to advocate for shipping to US LOCATIONS TO ASAP America really is being offered only ONE vaccine type with higher side effects we need choice,0
1248757963713662978t,If you knew the Corona Virus Vaccine might have serious side effects  you will receive the mark of the beast microchipped in your body would you take it,1
1310557532923011074t,WAKE UP CORONA BOLOGNA ITS JUST THE FLU SOME OF THE PEOPLE WHO BELIEVE THIS PLANDEMIC WILL FALL DOWN AND WORSHIP THE ANTI CHIRST AND TAKE THE BILL GATES DNA VACCINE,1
1451575792895365127t,       The useless AstraZeneca vaccine  is finished Good riddance to it,0
